flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
187,9.09,240,207,33,0.13,1,273
188,5.0,123,115,8,0.2,0,148
189,11.32,240,198,42,0.14,0,274
190,4.03,66,48,18,0.1,0,84
191,4.65,290,225,65,0.09,0,307
192,9.31,98,79,19,0.12,1,122
193,9.89,277,229,48,0.01,1,293
194,11.22,130,111,19,0.2,0,172
195,3.25,259,245,14,0.25,0,298
196,9.78,165,121,44,0.11,0,197
197,9.65,72,67,5,0.01,1,99
198,3.57,147,143,4,0.3,1,179
199,6.49,121,94,27,0.08,1,138
200,5.54,190,180,10,0.04,1,222
201,4.35,200,178,22,0.11,0,213
202,11.81,106,106,0,0.22,0,142
203,8.07,239,230,9,0.09,0,267
204,9.46,231,219,12,0.17,1,279
205,11.74,197,194,3,0.12,0,226
206,5.15,135,109,26,0.04,0,136
207,9.82,288,216,72,0.1,0,311
208,5.78,229,204,25,0.22,0,275
209,10.56,72,54,18,0.18,0,102
210,2.99,154,145,9,0.04,0,157
211,11.42,212,192,20,0.05,0,246
212,3.41,116,111,5,0.19,0,143
213,4.59,83,68,15,0.24,0,99
214,9.32,82,72,10,0.1,0,110
215,6.54,95,78,17,0.18,1,118
216,7.69,130,101,29,0.05,0,150
217,5.89,222,186,36,0.09,0,238
218,9.68,196,160,36,0.01,1,218
219,3.51,271,195,76,0.23,0,300
220,3.53,136,124,12,0.12,1,155
221,4.3,64,58,6,0.24,0,74
222,6.22,172,135,37,0.21,0,192
223,2.85,170,139,31,0.25,0,189
224,4.9,127,121,6,0.09,0,146
225,5.4,115,103,12,0.06,0,133
226,1.63,88,76,12,0.29,0,98
227,8.25,290,254,36,0.22,1,337
228,10.73,67,64,3,0.25,0,107
229,4.37,247,179,68,0.0,1,248
230,7.58,236,183,53,0.11,0,256
231,8.98,209,179,30,0.22,1,247
232,5.61,70,56,14,0.02,0,76
233,8.71,217,159,58,0.17,0,255
234,5.52,269,259,10,0.13,0,301
235,6.55,76,71,5,0.01,0,84
236,3.07,51,43,8,0.07,1,65
237,8.61,146,112,34,0.09,0,171
238,8.27,257,255,2,0.03,0,288
239,1.42,88,63,25,0.19,0,93
240,5.05,263,228,35,0.07,0,276
241,11.81,105,94,11,0.08,1,133
242,6.79,156,143,13,0.27,1,203
243,7.52,176,167,9,0.14,1,203
244,11.01,288,220,68,0.12,0,315
245,8.89,62,45,17,0.22,0,85
246,8.24,175,154,21,0.27,1,214
247,9.78,233,167,66,0.01,0,254
248,10.78,243,183,60,0.13,1,276
249,7.11,255,219,36,0.18,1,295
250,7.28,105,84,21,0.1,1,126
251,5.25,279,243,36,0.23,0,317
252,11.63,282,235,47,0.29,0,338
253,9.27,77,76,1,0.28,1,119
254,1.92,113,90,23,0.08,0,123
255,10.49,120,119,1,0.07,0,156
256,6.29,259,196,63,0.29,0,305
257,3.62,241,182,59,0.14,1,252
258,7.05,233,217,16,0.06,0,256
259,5.59,218,197,21,0.21,0,257
260,10.66,168,144,24,0.09,0,203
261,3.24,149,123,26,0.08,0,159
262,10.44,90,83,7,0.26,1,137
263,7.13,277,228,49,0.05,0,295
264,1.6,285,260,25,0.02,0,294
265,11.75,53,53,0,0.08,1,86
266,7.61,234,234,0,0.18,1,273
267,4.2,207,201,6,0.04,0,226
268,7.22,137,105,32,0.14,1,162
269,10.44,133,95,38,0.19,0,166
270,4.35,95,83,12,0.25,0,112
271,4.73,233,198,35,0.07,1,252
272,4.16,208,199,9,0.25,1,239
273,5.68,137,115,22,0.07,1,156
274,10.02,56,54,2,0.2,1,81
275,6.19,267,219,48,0.13,0,286
276,3.5,126,91,35,0.03,0,132
277,4.5,231,218,13,0.21,1,267
278,4.66,185,143,42,0.07,0,196
279,11.46,232,231,1,0.05,1,264
280,6.09,246,219,27,0.11,1,275
281,11.89,221,214,7,0.2,1,273
282,6.34,190,170,20,0.07,0,210
283,2.97,142,135,7,0.06,0,152
284,10.8,69,62,7,0.0,0,91
285,6.06,127,112,15,0.14,0,154
286,8.81,209,191,18,0.13,0,238
287,11.82,237,191,46,0.07,0,275
288,1.55,227,165,62,0.02,0,217
289,2.06,76,67,9,0.13,0,86
290,8.93,169,160,9,0.24,0,211
291,4.1,74,68,6,0.21,0,91
292,3.03,101,76,25,0.26,0,121
293,3.35,245,203,42,0.0,1,249
294,1.24,70,61,9,0.29,0,85
295,9.52,67,64,3,0.1,0,89
296,2.48,88,77,11,0.3,0,100
297,7.21,64,59,5,0.08,1,78
298,7.66,102,74,28,0.14,0,122
299,5.71,87,64,23,0.11,0,113
300,1.3,225,220,5,0.11,0,240
301,9.62,101,86,15,0.25,0,146
302,1.12,265,248,17,0.22,0,294
303,9.38,121,107,14,0.3,0,161
304,10.83,77,57,20,0.18,0,110
305,6.9,262,221,41,0.14,1,288
306,7.82,193,174,19,0.03,1,213
307,6.25,167,157,10,0.3,0,198
308,5.28,193,147,46,0.17,0,209
309,10.99,84,69,15,0.21,1,109
310,10.83,194,167,27,0.12,0,231
311,4.69,250,234,16,0.16,0,272
312,7.77,298,269,29,0.28,0,361
313,11.2,148,106,42,0.05,0,174
314,11.66,101,86,15,0.09,1,137
315,7.58,270,238,32,0.05,1,287
316,5.98,280,237,43,0.24,0,315
317,4.07,259,199,60,0.02,0,259
318,11.55,189,170,19,0.02,0,222
319,2.57,132,125,7,0.09,0,154
320,7.38,97,80,17,0.15,0,122
321,4.11,71,57,14,0.12,0,77
322,5.51,172,136,36,0.01,1,175
323,5.45,297,219,78,0.29,0,331
324,11.99,176,157,19,0.29,0,228
325,3.49,226,221,5,0.08,1,242
326,8.21,101,72,29,0.22,1,127
327,1.91,128,112,16,0.17,0,136
328,2.7,178,145,33,0.07,0,179
329,5.84,115,93,22,0.08,0,131
330,6.62,113,95,18,0.15,0,137
331,3.85,57,54,3,0.13,0,64
332,5.85,263,204,59,0.09,1,281
333,1.96,74,57,17,0.24,0,90
334,4.34,243,203,40,0.14,0,252
335,11.63,292,250,42,0.2,0,350
336,11.39,250,242,8,0.06,0,288
337,6.01,250,244,6,0.16,1,289
338,8.14,254,229,25,0.1,1,277
339,11.01,247,224,23,0.16,0,294
340,1.07,143,103,40,0.23,0,159
341,9.92,256,196,60,0.23,0,295
342,11.43,228,183,45,0.11,0,265
343,2.0,230,195,35,0.21,0,252
344,2.78,64,61,3,0.28,0,77
345,11.57,227,161,66,0.19,0,264
346,6.91,248,221,27,0.04,0,266
347,1.16,171,166,5,0.2,0,189
348,3.83,124,106,18,0.03,0,128
349,5.95,153,113,40,0.26,0,182
350,8.62,87,64,23,0.15,0,114
351,9.06,217,217,0,0.12,0,254
352,11.96,243,179,64,0.02,1,255
353,4.16,164,151,13,0.11,0,178
354,6.92,289,286,3,0.27,0,341
355,6.87,88,66,22,0.01,0,110
356,5.46,251,186,65,0.14,0,270
357,2.86,157,129,28,0.28,0,180
358,11.75,66,55,11,0.12,0,95
359,10.68,184,140,44,0.13,1,214
360,6.48,167,128,39,0.17,0,194
361,7.64,281,206,75,0.14,0,296
362,3.5,88,74,14,0.05,0,98
363,6.98,245,174,71,0.01,0,247
364,8.64,84,59,25,0.18,0,111
365,7.64,100,97,3,0.28,1,137
366,11.89,96,72,24,0.03,0,119
367,8.5,85,73,12,0.06,1,100
368,6.34,113,100,13,0.11,1,131
369,9.49,144,118,26,0.24,0,187
370,2.88,266,262,4,0.08,0,288
371,5.23,154,131,23,0.26,0,181
372,4.82,62,46,16,0.02,0,69
373,5.75,195,183,12,0.28,0,232
374,9.6,198,173,25,0.17,0,228
375,6.33,161,116,45,0.2,0,188
376,9.73,114,100,14,0.11,0,147
377,8.19,277,248,29,0.23,1,322
378,4.76,291,253,38,0.05,0,301
379,10.29,57,49,8,0.01,1,78
380,3.62,293,238,55,0.12,0,307
381,3.47,97,74,23,0.26,0,111
382,6.55,134,116,18,0.23,0,162
383,3.87,92,70,22,0.16,0,109
384,3.08,293,247,46,0.17,1,320
385,8.83,230,207,23,0.04,1,248
386,7.6,294,236,58,0.25,1,339
387,5.9,134,106,28,0.24,0,163
388,11.64,204,170,34,0.2,0,243
389,8.14,68,67,1,0.14,1,94
390,10.77,72,69,3,0.29,1,115
391,4.26,164,150,14,0.26,1,192
392,7.26,99,91,8,0.19,0,115
393,10.55,228,182,46,0.11,0,246
394,8.25,92,92,0,0.19,1,123
395,8.9,148,115,33,0.17,0,177
396,6.35,153,141,12,0.12,1,177
397,3.83,165,150,15,0.09,1,182
398,6.04,100,85,15,0.12,0,111
399,6.55,155,145,10,0.17,1,179
400,10.8,161,119,42,0.13,1,193
401,3.68,246,240,6,0.08,0,268
402,11.7,293,254,39,0.23,1,347
403,11.54,218,163,55,0.16,0,247
404,5.23,121,99,22,0.02,1,133
405,4.83,188,172,16,0.11,0,208
406,11.06,129,113,16,0.27,1,166
407,11.63,280,221,59,0.23,0,320
408,5.88,288,204,84,0.1,0,304
409,5.89,265,194,71,0.28,1,300
410,6.79,262,236,26,0.02,0,278
411,8.57,229,161,68,0.29,0,271
412,5.46,200,200,0,0.07,1,215
413,9.63,98,98,0,0.0,1,125
414,1.57,215,162,53,0.13,0,219
415,1.54,96,91,5,0.11,0,97
416,5.25,121,119,2,0.16,0,136
417,4.89,56,53,3,0.24,0,75
418,4.47,115,101,14,0.25,0,146
419,6.4,271,212,59,0.12,0,292
420,5.89,126,103,23,0.13,1,154
421,4.73,111,104,7,0.04,1,131
422,5.79,264,225,39,0.01,1,275
423,11.72,206,149,57,0.19,0,252
424,5.52,87,66,21,0.02,0,105
425,5.89,174,158,16,0.22,0,211
426,7.34,278,197,81,0.16,0,293
427,11.82,133,105,28,0.06,0,160
428,5.17,210,207,3,0.16,1,236
429,8.49,78,78,0,0.05,0,108
430,8.88,163,155,8,0.13,0,193
431,7.68,128,101,27,0.24,0,166
432,3.8,72,69,3,0.14,1,87
433,8.45,155,132,23,0.04,0,175
434,1.71,180,175,5,0.22,0,202
435,7.56,150,109,41,0.06,0,165
436,9.66,297,267,30,0.22,1,350
437,3.32,270,197,73,0.14,0,283
438,10.57,222,160,62,0.14,1,250
439,3.27,57,57,0,0.26,1,71
440,10.28,135,117,18,0.21,0,181
441,6.06,166,165,1,0.01,0,192
442,4.96,78,57,21,0.09,1,88
443,2.47,51,44,7,0.26,0,67
444,11.49,282,276,6,0.01,0,307
445,3.65,162,157,5,0.16,1,182
446,4.79,300,266,34,0.22,1,333
447,6.13,227,163,64,0.19,1,257
448,8.58,286,227,59,0.23,1,331
449,6.99,114,85,29,0.22,0,142
450,2.38,157,140,17,0.21,0,181
451,5.61,69,69,0,0.25,1,88
452,3.63,229,163,66,0.19,0,246
453,3.35,262,261,1,0.12,0,289
454,6.7,86,62,24,0.14,1,103
455,8.74,121,108,13,0.22,0,154
456,3.39,76,76,0,0.26,0,91
457,5.03,224,178,46,0.08,0,243
458,5.3,172,122,50,0.1,0,189
459,11.74,276,197,79,0.28,0,335
460,11.5,183,175,8,0.17,0,230
461,9.8,237,225,12,0.05,0,260
462,3.66,94,79,15,0.2,0,108
463,3.61,221,179,42,0.3,1,252
464,4.49,132,103,29,0.25,0,153
465,5.4,195,185,10,0.22,1,234
466,6.57,169,121,48,0.06,0,174
467,9.56,114,93,21,0.26,0,146
468,10.72,74,56,18,0.16,1,102
469,10.29,76,64,12,0.27,0,104
470,6.24,184,162,22,0.1,1,206
471,8.56,221,157,64,0.02,0,231
472,5.82,155,128,27,0.14,1,181
473,1.67,206,153,53,0.08,0,207
474,9.31,272,195,77,0.21,1,311
475,1.11,93,75,18,0.29,0,107
476,6.68,156,131,25,0.21,1,172
477,4.62,85,85,0,0.27,0,101
478,8.63,196,194,2,0.14,0,233
479,9.9,55,52,3,0.23,1,88
480,4.35,202,191,11,0.25,0,236
481,9.93,208,193,15,0.21,0,259
482,4.23,58,53,5,0.15,0,75
483,5.91,261,233,28,0.19,0,303
484,9.0,251,220,31,0.21,0,282
485,8.62,214,208,6,0.08,0,252
486,11.89,204,202,2,0.24,1,255
487,3.48,62,50,12,0.29,0,78
488,8.29,90,76,14,0.14,0,121
489,8.49,177,154,23,0.21,1,202
490,11.24,115,94,21,0.22,1,151
491,2.72,291,219,72,0.2,0,318
492,9.27,134,117,17,0.16,0,162
493,7.25,274,222,52,0.26,0,322
494,4.02,73,53,20,0.13,0,88
495,6.22,294,220,74,0.02,0,299
496,4.67,93,82,11,0.25,0,118
497,7.37,155,126,29,0.2,0,190
498,10.78,147,140,7,0.25,0,194
499,8.12,109,91,18,0.04,1,133
500,8.69,58,41,17,0.01,1,73
501,6.71,179,152,27,0.28,0,219
502,1.56,296,214,82,0.04,0,292
503,3.56,105,93,12,0.24,0,130
504,7.43,207,145,62,0.25,1,234
505,4.41,71,59,12,0.21,0,93
506,3.0,287,284,3,0.04,0,296
507,7.54,252,208,44,0.2,1,299
508,5.91,296,272,24,0.27,1,342
509,5.32,284,282,2,0.13,1,310
510,7.18,130,98,32,0.12,1,148
511,2.47,149,137,12,0.13,0,168
512,11.21,62,48,14,0.02,0,90
513,10.81,120,110,10,0.27,1,170
514,9.37,65,62,3,0.26,1,95
515,2.17,274,194,80,0.3,0,303
516,9.53,94,84,10,0.18,0,121
517,9.89,114,94,20,0.23,0,146
518,9.91,188,154,34,0.06,1,205
519,4.03,119,99,20,0.2,1,134
520,8.08,197,143,54,0.19,0,220
521,10.18,148,119,29,0.27,0,192
522,7.35,285,251,34,0.25,0,340
523,8.82,240,178,62,0.28,1,285
524,7.13,150,142,8,0.26,1,183
525,7.76,154,129,25,0.26,1,193
526,1.38,267,191,76,0.02,0,258
527,8.03,299,243,56,0.25,0,351
528,1.9,189,143,46,0.18,0,197
529,5.79,239,193,46,0.11,0,254
530,5.63,143,107,36,0.02,1,155
531,7.91,269,193,76,0.2,1,301
532,4.2,268,247,21,0.1,1,293
533,9.22,91,87,4,0.14,1,116
534,9.75,132,113,19,0.2,0,168
535,4.47,246,195,51,0.27,1,283
536,3.94,235,219,16,0.25,1,264
537,4.31,182,182,0,0.14,1,206
538,10.65,154,139,15,0.12,0,177
539,6.81,204,145,59,0.07,0,224
540,6.14,77,61,16,0.11,0,87
541,3.96,75,66,9,0.03,1,84
542,8.15,268,253,15,0.29,0,325
543,10.55,165,148,17,0.17,0,198
544,10.11,98,94,4,0.04,0,134
545,7.89,283,274,9,0.11,0,314
546,1.83,198,145,53,0.16,0,207
547,2.24,50,36,14,0.16,0,54
548,1.54,295,281,14,0.01,0,295
549,3.83,141,139,2,0.29,0,171
550,4.22,289,261,28,0.08,1,310
551,3.86,299,258,41,0.0,0,302
552,6.47,107,101,6,0.02,1,120
553,11.37,128,117,11,0.17,0,166
554,7.71,232,219,13,0.04,0,247
555,10.51,130,100,30,0.01,1,157
556,8.81,75,59,16,0.11,0,96
557,2.24,261,212,49,0.19,0,280
558,9.1,202,179,23,0.03,0,214
559,5.48,126,92,34,0.09,1,137
560,8.03,210,149,61,0.13,0,240
561,6.07,266,253,13,0.05,1,289
562,11.97,121,113,8,0.15,0,164
563,3.9,118,100,18,0.03,0,127
564,4.07,55,54,1,0.01,0,53
565,11.24,72,63,9,0.16,0,105
566,1.27,293,242,51,0.07,0,298
567,8.66,207,175,32,0.03,0,230
568,8.98,255,230,25,0.13,0,289
569,10.53,103,87,16,0.27,1,137
570,11.72,136,97,39,0.22,0,172
571,11.73,60,57,3,0.24,0,95
572,3.59,208,168,40,0.26,1,239
573,10.04,183,181,2,0.29,0,234
574,8.11,60,59,1,0.23,0,83
575,8.83,126,106,20,0.18,1,159
576,4.16,61,60,1,0.11,1,71
577,8.15,295,294,1,0.05,0,321
578,11.84,243,231,12,0.21,1,294
579,11.03,102,85,17,0.3,0,143
580,5.83,148,117,31,0.14,0,160
581,1.44,296,279,17,0.22,0,329
582,6.26,85,68,17,0.15,1,110
583,10.09,194,184,10,0.13,0,231
584,8.72,77,63,14,0.12,0,98
585,6.05,269,236,33,0.15,0,296
586,1.61,199,160,39,0.11,0,208
587,5.7,151,106,45,0.22,0,176
588,6.16,56,41,15,0.26,0,84
589,11.21,64,64,0,0.26,0,93
590,8.05,273,201,72,0.07,0,290
591,4.43,188,185,3,0.27,0,225
592,6.78,73,53,20,0.1,0,90
593,1.73,244,224,20,0.09,0,258
594,11.7,79,70,9,0.22,0,114
595,6.24,247,241,6,0.09,1,268
596,6.26,299,289,10,0.02,0,317
597,4.91,115,90,25,0.11,0,132
598,8.51,110,79,31,0.22,0,137
599,8.28,127,104,23,0.1,0,155
600,8.87,90,71,19,0.19,0,116
601,3.95,131,102,29,0.2,0,151
602,4.47,100,93,7,0.22,0,113
603,2.38,221,219,2,0.27,0,268
604,8.21,144,144,0,0.13,0,173
605,1.44,62,56,6,0.05,0,64
606,7.57,139,129,10,0.1,0,162
607,10.57,285,280,5,0.13,0,325
608,10.8,189,179,10,0.21,0,229
609,5.94,131,127,4,0.0,0,146
610,6.05,58,43,15,0.09,0,74
611,1.85,290,278,12,0.23,0,327
612,9.04,262,220,42,0.2,1,303
613,10.03,97,80,17,0.22,0,129
614,3.69,98,83,15,0.24,0,110
615,6.79,102,99,3,0.23,1,128
616,10.55,233,211,22,0.2,1,280
617,10.65,89,88,1,0.13,0,119
618,3.67,156,138,18,0.3,0,187
619,7.96,73,69,4,0.17,1,98
620,4.73,275,229,46,0.06,1,286
621,2.12,249,198,51,0.09,0,257
622,11.02,157,132,25,0.21,0,199
623,10.03,294,256,38,0.28,0,357
624,9.36,82,73,9,0.05,0,116
625,1.54,72,54,18,0.02,0,78
626,10.28,126,118,8,0.26,0,160
627,5.82,103,81,22,0.27,0,122
628,6.08,102,79,23,0.08,1,116
629,7.01,98,86,12,0.11,0,115
630,2.0,255,233,22,0.2,0,284
631,9.81,127,110,17,0.1,1,157
632,8.24,129,126,3,0.26,1,164
633,3.05,226,223,3,0.03,0,243
634,3.07,151,146,5,0.01,0,166
635,3.03,171,162,9,0.06,0,173
636,1.63,237,202,35,0.09,0,238
637,7.47,152,114,38,0.03,0,171
638,10.24,139,130,9,0.02,0,169
639,1.19,139,101,38,0.23,0,153
640,1.54,242,173,69,0.05,0,239
641,7.3,209,149,60,0.27,0,243
642,10.01,170,128,42,0.11,0,199
643,4.59,256,229,27,0.2,0,289
644,4.85,293,287,6,0.07,0,321
645,7.56,198,165,33,0.07,0,214
646,5.47,195,163,32,0.17,1,219
647,1.29,271,202,69,0.17,0,288
648,9.09,109,77,32,0.23,0,139
649,8.63,171,145,26,0.23,1,211
650,7.39,190,171,19,0.2,0,227
651,9.16,201,190,11,0.13,0,233
652,8.43,79,79,0,0.27,0,106
653,3.26,179,152,27,0.19,0,196
654,6.17,132,111,21,0.3,1,158
655,2.39,160,121,39,0.25,0,169
656,2.43,157,134,23,0.01,0,165
657,8.44,160,117,43,0.1,0,172
658,10.44,74,61,13,0.17,0,114
659,11.59,99,75,24,0.22,0,132
660,7.91,63,61,2,0.17,0,87
661,3.03,183,137,46,0.24,0,196
662,3.95,125,100,25,0.08,1,137
663,9.94,133,127,6,0.06,0,160
664,7.37,136,129,7,0.02,0,155
665,7.8,207,150,57,0.17,0,229
666,9.6,79,79,0,0.21,0,114
667,8.74,215,186,29,0.1,0,238
668,10.18,107,97,10,0.18,0,141
669,1.62,143,115,28,0.02,0,146
670,9.22,90,68,22,0.03,0,118
671,10.36,143,128,15,0.21,0,185
672,5.58,106,93,13,0.11,1,124
673,8.04,299,211,88,0.2,0,332
674,4.46,213,163,50,0.25,0,243
675,11.54,113,83,30,0.26,0,155
676,3.3,290,252,38,0.05,1,295
677,7.38,147,137,10,0.15,0,179
678,2.83,65,57,8,0.22,0,73
679,9.41,137,108,29,0.23,1,173
680,4.58,127,123,4,0.24,1,156
681,5.12,139,128,11,0.07,1,152
682,6.44,121,120,1,0.06,0,133
683,11.06,63,55,8,0.18,0,94
684,3.33,80,61,19,0.22,0,81
685,4.3,115,115,0,0.1,1,131
686,9.35,161,129,32,0.03,0,175
687,6.51,117,85,32,0.22,0,156
688,11.03,242,225,17,0.09,0,283
689,4.32,104,83,21,0.05,1,114
690,8.11,261,185,76,0.04,0,278
691,3.56,172,123,49,0.09,0,183
692,2.72,255,238,17,0.18,0,276
693,8.52,217,211,6,0.11,0,246
694,7.53,202,194,8,0.01,0,226
695,9.3,74,59,15,0.03,0,91
